has_1_20_1_forge,new_file_id,new_name,new_url,new_version,old_file_id,old_name,project_id,slug,title,url
true,7148487,appliedenergistics2-forge-15.4.10.jar,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2/files/7148487,1.20.1,4548560,appliedenergistics2-forge-11.7.4.jar,223794,,Applied Energistics 2,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2
true,4882500,carryon-forge-1.20.1-2.1.2.7.jar,https://www.curseforge.com/minecraft/mc-mods/carry-on/files/4882500,1.20.1,4628664,carryon-1.18.2-1.17.1.12.jar,274259,,Carry On,https://www.curseforge.com/minecraft/mc-mods/carry-on
true,7386520,FramedBlocks-9.4.3.jar,https://www.curseforge.com/minecraft/mc-mods/framedblocks/files/7386520,1.20.1,4567924,FramedBlocks-5.11.5.jar,441647,,FramedBlocks,https://www.curseforge.com/minecraft/mc-mods/framedblocks
true,5661721,xnetgases-1.20.1-5.1.4.jar,https://www.curseforge.com/minecraft/mc-mods/xnet-gases/files/5661721,1.20.1,3916710,XNetGases-1.18.2-3.0.1.jar,383182,,XNet Gases,https://www.curseforge.com/minecraft/mc-mods/xnet-gases
true,5849456,torchmaster-20.1.9.jar,https://www.curseforge.com/minecraft/mc-mods/torchmaster/files/5849456,1.20.1,4661451,torchmaster-18.2.1.jar,254268,,Torchmaster,https://www.curseforge.com/minecraft/mc-mods/torchmaster
true,4770828,appleskin-forge-mc1.20.1-2.5.1.jar,https://www.curseforge.com/minecraft/mc-mods/appleskin/files/4770828,1.20.1,3927564,appleskin-forge-mc1.18.2-2.4.1.jar,248787,,AppleSkin,https://www.curseforge.com/minecraft/mc-mods/appleskin
true,7783320,supermartijn642corelib-1.1.21-forge-mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib/files/7783320,1.20.1,4660107,supermartijn642corelib-1.1.12-forge-mc1.18.jar,454372,,SuperMartijn642's Core Lib,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib
true,4715408,supermartijn642configlib-1.1.8-forge-mc1.20.jar,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib/files/4715408,1.20.1,4629792,supermartijn642configlib-1.1.7-forge-mc1.18.jar,438332,,SuperMartijn642's Config Lib,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib
true,6175008,megacells-forge-2.4.6-1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/mega-cells/files/6175008,1.20.1,4027408,MEGACells-1.4.2-1.18.2.jar,622112,,MEGA Cells,https://www.curseforge.com/minecraft/mc-mods/mega-cells
true,6945379,pipez-forge-1.20.1-1.2.26.jar,https://www.curseforge.com/minecraft/mc-mods/pipez/files/6945379,1.20.1,3819249,pipez-1.18.2-1.1.5.jar,443900,,Pipez,https://www.curseforge.com/minecraft/mc-mods/pipez
true,7731017,Patchouli-1.20.1-85-FORGE.jar,https://www.curseforge.com/minecraft/mc-mods/patchouli/files/7731017,1.20.1,3846086,Patchouli-1.18.2-71.1.jar,306770,,Patchouli,https://www.curseforge.com/minecraft/mc-mods/patchouli
true,7232817,createendertransmission-2.1.1-1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/create-ender-transmission/files/7232817,1.20.1,4681873,createendertransmission-2.0.4-1.18.2.jar,737302,,Create: Ender Transmission,https://www.curseforge.com/minecraft/mc-mods/create-ender-transmission
true,5372746,thermal_cultivation-1.20.1-11.0.1.24.jar,https://www.curseforge.com/minecraft/mc-mods/thermal-cultivation/files/5372746,1.20.1,4382340,thermal_cultivation-1.18.2-9.2.0.16.jar,271835,,Thermal Cultivation,https://www.curseforge.com/minecraft/mc-mods/thermal-cultivation
true,8163134,kleeslabs-forge-1.20.1-15.0.12.jar,https://www.curseforge.com/minecraft/mc-mods/kleeslabs/files/8163134,1.20.1,3830926,kleeslabs-forge-1.18.2-11.1.1.jar,241895,,KleeSlabs,https://www.curseforge.com/minecraft/mc-mods/kleeslabs
true,5496566,Crafting Station-forge-1.20.1-0.jar,https://www.curseforge.com/minecraft/mc-mods/crafting-station/files/5496566,1.20.1,4096798,craftingstation-1.18.2-5.0.1.jar,318551,,Crafting Station,https://www.curseforge.com/minecraft/mc-mods/crafting-station
true,8226927,ftb-library-forge-2001.2.13.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-library-forge/files/8226927,1.20.1,4396792,ftb-library-forge-1802.3.11-build.177.jar,404465,,FTB Library (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-library-forge
true,4646682,Controlling-forge-1.20.1-12.0.2.jar,https://www.curseforge.com/minecraft/mc-mods/controlling/files/4646682,1.20.1,4555742,Controlling-forge-1.18.2-9.0+23.jar,250398,,Controlling,https://www.curseforge.com/minecraft/mc-mods/controlling
true,4574905,online_detector-1.20-6.0.0.jar,https://www.curseforge.com/minecraft/mc-mods/online-detector/files/4574905,1.20.1,3876824,online_detector-1.18.2-2.1.1.jar,454487,,Online Detector (Forge),https://www.curseforge.com/minecraft/mc-mods/online-detector
true,4684054,constructionwand-1.20.1-2.11.jar,https://www.curseforge.com/minecraft/mc-mods/construction-wand/files/4684054,1.20.1,4393837,constructionwand-1.18.2-2.9.jar,399558,,Construction Wand,https://www.curseforge.com/minecraft/mc-mods/construction-wand
true,4652448,modnametooltip-1.20.1-1.20.0.jar,https://www.curseforge.com/minecraft/mc-mods/mod-name-tooltip/files/4652448,1.19.3,3574005,modnametooltip-1.18.1-1.18.0.jar,238747,,Mod Name Tooltip,https://www.curseforge.com/minecraft/mc-mods/mod-name-tooltip
